2017/08/02 12:48:39 [error] 2598#0: *139 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 176.158.143.193, server: 137.74.168.147, request: "GET /add HTTP/1.1", upstream: "http://unix:/home/lab/WORKOUT/apiUnicorn.sock:/add", host: "137.74.168.147"
2017/08/03 15:38:10 [crit] 2598#0: *222 connect() to unix:/home/lab/WORKOUT/apiUnicorn.sock failed (2: No such file or directory) while connecting to upstream, client: 176.158.143.193, server: 137.74.168.147, request: "GET /json HTTP/1.1", upstream: "http://unix:/home/lab/WORKOUT/apiUnicorn.sock:/json", host: "137.74.168.147"
2017/08/03 16:37:46 [crit] 14484#0: *41 connect() to unix:/home/lab/WORKOUT/apiUnicorn.sock failed (2: No such file or directory) while connecting to upstream, client: 176.158.143.193, server: 137.74.168.147, request: "POST /json HTTP/1.1", upstream: "http://unix:/home/lab/WORKOUT/apiUnicorn.sock:/json", host: "137.74.168.147"
2017/08/03 16:38:04 [crit] 14484#0: *41 connect() to unix:/home/lab/WORKOUT/apiUnicorn.sock failed (2: No such file or directory) while connecting to upstream, client: 176.158.143.193, server: 137.74.168.147, request: "POST /json HTTP/1.1", upstream: "http://unix:/home/lab/WORKOUT/apiUnicorn.sock:/json", host: "137.74.168.147"
2017/08/03 16:39:04 [crit] 14484#0: *44 connect() to unix:/home/lab/WORKOUT/apiUnicorn.sock failed (2: No such file or directory) while connecting to upstream, client: 176.158.143.193, server: 137.74.168.147, request: "GET / HTTP/1.1", upstream: "http://unix:/home/lab/WORKOUT/apiUnicorn.sock:/", host: "137.74.168.147"
2017/08/03 16:40:29 [crit] 14484#0: *47 connect() to unix:/home/lab/WORKOUT/apiUnicorn.sock failed (2: No such file or directory) while connecting to upstream, client: 176.158.143.193, server: 137.74.168.147, request: "GET / HTTP/1.1", upstream: "http://unix:/home/lab/WORKOUT/apiUnicorn.sock:/", host: "137.74.168.147"
2017/08/03 16:40:39 [crit] 14484#0: *47 connect() to unix:/home/lab/WORKOUT/apiUnicorn.sock failed (2: No such file or directory) while connecting to upstream, client: 176.158.143.193, server: 137.74.168.147, request: "GET / HTTP/1.1", upstream: "http://unix:/home/lab/WORKOUT/apiUnicorn.sock:/", host: "137.74.168.147"
2017/08/03 16:59:06 [crit] 14484#0: *50 connect() to unix:/home/lab/WORKOUT/apiUnicorn.sock failed (2: No such file or directory) while connecting to upstream, client: 176.158.143.193, server: 137.74.168.147, request: "GET / HTTP/1.1", upstream: "http://unix:/home/lab/WORKOUT/apiUnicorn.sock:/", host: "137.74.168.147"
2017/08/03 17:04:44 [crit] 14875#0: *1 connect() to unix:/home/lab/WORKOUT/apiUnicorn.sock failed (2: No such file or directory) while connecting to upstream, client: 176.158.143.193, server: 137.74.168.147, request: "POST /json HTTP/1.1", upstream: "http://unix:/home/lab/WORKOUT/apiUnicorn.sock:/json", host: "137.74.168.147"
2017/08/03 17:05:37 [crit] 14875#0: *3 connect() to unix:/home/lab/WORKOUT/apiUnicorn.sock failed (2: No such file or directory) while connecting to upstream, client: 176.158.143.193, server: 137.74.168.147, request: "POST /json HTTP/1.1", upstream: "http://unix:/home/lab/WORKOUT/apiUnicorn.sock:/json", host: "137.74.168.147"
2017/08/03 17:27:00 [crit] 14875#0: *6 connect() to unix:/home/lab/WORKOUT/apiUnicorn.sock failed (2: No such file or directory) while connecting to upstream, client: 176.158.143.193, server: 137.74.168.147, request: "GET / HTTP/1.1", upstream: "http://unix:/home/lab/WORKOUT/apiUnicorn.sock:/", host: "137.74.168.147"
2017/08/03 18:57:00 [crit] 15077#0: *7 connect() to unix:/home/lab/WORKOUT/apiUnicorn.sock failed (2: No such file or directory) while connecting to upstream, client: 176.158.143.193, server: 137.74.168.147, request: "POST /json HTTP/1.1", upstream: "http://unix:/home/lab/WORKOUT/apiUnicorn.sock:/json", host: "137.74.168.147"
2017/08/03 19:09:27 [crit] 15077#0: *9 connect() to unix:/home/lab/WORKOUT/apiUnicorn.sock failed (2: No such file or directory) while connecting to upstream, client: 176.158.143.193, server: 137.74.168.147, request: "GET / HTTP/1.1", upstream: "http://unix:/home/lab/WORKOUT/apiUnicorn.sock:/", host: "137.74.168.147"
2017/08/03 19:09:27 [crit] 15077#0: *9 connect() to unix:/home/lab/WORKOUT/apiUnicorn.sock failed (2: No such file or directory) while connecting to upstream, client: 176.158.143.193, server: 137.74.168.147, request: "GET /favicon.ico HTTP/1.1", upstream: "http://unix:/home/lab/WORKOUT/apiUnicorn.sock:/favicon.ico", host: "137.74.168.147", referrer: "http://137.74.168.147/"
